"subjectID" "LAYING" "SITTING" "STANDING" "WALKING" "WALKING_DOWNSTAIRS" "WALKING_UPSTAIRS"
1 -0.480875216114845 -0.527416885752269 -0.534193625449306 -0.148543780855594 -0.0843393756318594 -0.278265190229137
2 -0.512123002066965 -0.542888217090278 -0.537598087792111 -0.247654441268 -0.0573620531872048 -0.21721410258086
3 -0.515945997137776 -0.530440871589495 -0.544284647244474 -0.257899106945121 -0.170324687567685 -0.303603385569557
4 -0.517772457343974 -0.542370844303961 -0.529576195888342 -0.316946106004638 -0.196873150265787 -0.290773051609835
5 -0.513577047498264 -0.537707329526737 -0.521105347576279 -0.239781042032815 -0.0982417935769449 -0.202240651194106
6 -0.500211904573112 -0.53385732453672 -0.538340646718044 -0.17465881134507 0.0357077939979536 -0.158724511981931
7 -0.534986302670026 -0.54299535765268 -0.548252135185629 -0.13957073618858 -0.113000908407854 -0.314056409481395
8 -0.512895073661704 -0.543165114153866 -0.5359185641535 -0.132617666844502 0.039081432808625 -0.11502009441043
9 -0.544544293457814 -0.552345837904065 -0.543806855978114 -0.237168004320171 -0.117045618909621 -0.310847035725072
10 -0.522365924592655 -0.538664817892217 -0.534952126635906 -0.161303730540654 -0.0546451297651523 -0.178162041905116
11 -0.512861855333232 -0.540977058025049 -0.534825890214766 -0.321334021602789 -0.173009320419201 -0.332796216466072
12 -0.518853088807448 -0.550947630235561 -0.535664760252465 -0.200809384363403 -0.114406117287321 -0.297527104136267
13 -0.520306084204106 -0.541034737095509 -0.545577558289037 -0.159340697706572 -0.115363349774585 -0.289612219288895
14 -0.527550387905098 -0.565801781935319 -0.560643899670519 -0.253791202184372 0.0182211862772833 -0.118540801118236
15 -0.526005958328278 -0.542622131860768 -0.541752522827711 -0.260834463168193 -0.0786032558519137 -0.257597692899352
16 -0.542329555320819 -0.538351951751743 -0.543923625364253 -0.322702538573574 -0.162425666699263 -0.336397243295765
17 -0.516580501132293 -0.544296888161803 -0.54612212372287 -0.260410958935926 -0.189789720119293 -0.269921389946169
18 -0.512081689208835 -0.54007199075132 -0.555674524510578 -0.325669126664815 -0.307172430073856 -0.379740751384394
19 -0.520803873033135 -0.560098590027829 -0.549725460506474 -0.0450632719350405 0.167052794062709 -0.145365628258747
20 -0.520556734431981 -0.553933642537479 -0.54322991453439 -0.0718891628760887 -0.0332811183644719 -0.179061816802806
21 -0.531004811891656 -0.544741716599044 -0.550149258059885 -0.185483285901593 -0.0946951837906139 -0.244326050805072
22 -0.515419769148934 -0.550505736123395 -0.558044927687885 -0.107455324123164 -0.0923570332257434 -0.141520932034074
23 -0.516120808635692 -0.53404756130976 -0.547857337217258 -0.0653785605992924 0.036554982254412 -0.214987479005868
24 -0.515596622960219 -0.552564919347752 -0.545230952553601 -0.292749837031881 -0.176389125400875 -0.311114522060492
25 -0.488454709709539 -0.54695324023164 -0.54377151671689 -0.368044920765623 -0.293390071758019 -0.396173245275413
26 -0.512813527767213 -0.546394816954094 -0.543076130019591 -0.255514147657578 -0.132861850653538 -0.27630179836853
27 -0.511670677177633 -0.545796577714754 -0.540671120112473 -0.25094686050825 -0.118684300181393 -0.312743212610588
28 -0.548221315689446 -0.558463871142547 -0.548285336964585 -0.269025311263766 -0.086370296476084 -0.266680397648895
29 -0.502258752213248 -0.542008793990344 -0.539496768105238 -0.201580520932649 -0.126539725473243 -0.217286652828849
30 -0.528086538384804 -0.553379901431693 -0.552320362711613 -0.230275927417254 -0.17534347544451 -0.32204288589021
